Name,FIPS,#RenterOccupiedHousingUnits,#MovedSameCounty,#MovedSameState,#MovedNewState,MedianRent,MedianHomeValue,#VacantForRent
"Emerald Isle, NC",3721160,311,93,143,42,1328.274278,363900,79
"Philo, CA",656868,36,,,,912.4568163,363900,0
"Cooper City, FL",1214125,1761,1075,469,66,1994.689411,363700,36
"Horseshoe Bay, TX",4834862,263,73,155,43,1135.767207,363700,24
"San Cristobal, NM",3566540,0,,,,,363500,0
"Bend, OR",4105800,16136,5160,899,1663,1191.574224,363200,54
"Alta Sierra, CA",601360,351,292,83,10,1814.726915,363000,0
"Arden, DE",1001400,61,17,0,38,1214.797122,362900,9
"Phoenix Lake, CA",656870,212,66,0,21,1642.4,362900,0
"Shady Hollow, TX",4867082,90,19,21,0,2296.825826,362900,0
"West Laurel, MD",2483025,0,23,58,39,2773.418524,362900,0
"Ossining, NY",3655530,4261,389,182,101,1547.32314,362700,16
"Highland Park, NJ",3431470,3199,358,253,113,1430.363086,362600,54
"Camano, WA",5309365,785,68,445,57,1273.4,362400,33
"Stony Point, NY",3671663,779,247,88,45,1606.866518,362400,110
"Port Jefferson Station, NY",3659377,715,525,0,169,1780.3076,362300,32
"Vandenberg Village, CA",682086,691,147,16,12,1867.356178,362300,7
"West Chester, PA",4282704,4539,477,438,241,1231.873527,362300,133
"Belford, NJ",3404600,186,19,0,0,1790.589874,362200,0
"Elm Grove, WI",5523575,114,165,121,0,820.9433579,362200,0
"Cinco Ranch, TX",4814929,731,123,319,15,1395.193835,362100,205
"Jersey City, NJ",3436000,74548,3776,3300,2492,1331.210796,362100,2316
"Scenic Oaks, TX",4866089,136,44,49,164,1117.011034,362100,0
"Harbor Bluffs, FL",1228650,180,33,13,8,1606.4,361800,0
"Prairie Grove, IL",1761678,77,13,0,13,1572.551352,361800,0
"Brandywine, MD",2409325,285,52,36,75,2061.332119,361600,36
"Garberville, CA",628154,340,122,17,6,873.0627559,361600,0
"Francis, UT",4926940,111,5,0,0,1138.118136,361500,0
"Rowena, OR",4163950,23,,,,856.6162441,361500,0
"The Woodlands, TX",4872656,12453,4258,1292,1387,1608.960638,361500,1440
"North Laurel, MD",2456725,3644,736,495,219,1786.236306,361400,27
"Warm Beach, WA",5376195,51,11,78,0,1150.684312,361400,0
"Desert Palms, CA",619022,379,6,36,44,2094.350059,361200,151
"Druid Hills, KY",2122474,14,17,0,0,1329.56477,361200,0
"Wanamassa, NJ",3476700,176,54,10,0,1597.93584,361200,0
"Fern Prairie, WA",5323690,96,44,0,0,1695.612011,361000,0
"Miramar Beach, FL",1246000,1225,267,68,37,1212.8,361000,2088
"Saugatuck, MI",2671700,152,0,9,2,592.7534455,360800,0
"Stanton, CA",673962,5549,904,244,169,1427.143151,360800,132
"Waianae, HI",1574450,1367,735,30,197,961.2851107,360800,42
"Reile's Acres, ND",3866040,0,12,0,11,,360700,0
"White House Station, NJ",3480720,224,0,0,95,1448.416094,360700,0
"Beverly Hills, MI",2608160,388,622,17,38,1301.2,360400,0
"Springdale, NJ",3469900,641,185,123,284,1061.884615,360400,0
"Wheaton, MD",2483775,5607,1561,226,367,1807.856595,360400,370
"Lake Hamilton, AR",537930,333,0,49,0,714.4,360300,181
"Lynnwood, WA",5340840,6327,1511,736,195,1200.032662,360300,273
"Mount Vernon, NY",3649121,15176,736,225,349,1334.975579,360300,241
"Clinton, NJ",3413720,332,51,33,0,1253.370486,360200,3
"Langhorne Manor, PA",4241416,69,50,42,0,1173.8,360200,0
"Lemont, IL",1742795,1356,188,207,78,952.8049571,360200,0
"Rhinebeck, NY",3661346,684,14,64,0,1312.021193,360100,0
"Saratoga Springs, NY",3665255,5502,937,103,347,1190.603905,360100,558
"Arden on the Severn, MD",2402025,128,62,0,0,,360000,0
"Malden-on-Hudson, NY",3644677,84,,,,,360000,0
"Manchester, CA",645386,0,,,,288.7920223,360000,0
"North Wildwood, NJ",3453490,241,30,23,27,790.5552826,359900,935
"Sandwich, MA",2559700,200,53,0,0,1091.6,359900,7
"Carmichael, CA",611390,12039,2011,493,165,1102.609453,359800,206
"Newfields, NH",3351300,22,26,0,0,1338.732499,359600,0
"Michiana Shores, IN",1848744,4,0,21,0,835.5167421,359500,0
"Deer Park, NY",3619972,1289,512,44,9,1614.569007,359400,97
"South Glastonbury, MT",3069713,8,,,,,359400,0
"Langhorne, PA",4241392,252,388,0,13,1036.6,359300,30
"Bexley, OH",3906278,1066,433,12,127,957.417577,359200,112
"Linden, CA",641670,72,14,39,66,1153.33936,359200,0
"Tequesta, FL",1271525,480,192,28,68,1345.119668,359200,12
"Hamilton, VA",5134240,43,9,0,0,1352.456262,359100,0
"Littleton Common, MA",2536020,175,89,64,0,936.1844916,359000,0
"Granville, OH",3931402,339,164,10,172,1079.835538,358900,0
"Lakeview, NY",3641003,56,66,25,29,2881.323874,358700,0
"Seal Beach, CA",670686,2922,440,230,155,1852.764595,358700,66
"Winters, CA",686034,781,82,112,40,1359.611612,358600,0
"Old Bridge, NJ",3454690,1285,74,255,168,1147.759528,358500,0
"Mashpee Neck, MA",2539152,81,0,0,0,1719.836489,358400,0
"Bellewood, KY",2105464,0,2,0,0,2140.428448,358300,0
"Boonville, CA",607512,127,21,0,8,1276.101722,358300,0
"Fontana-on-Geneva Lake, WI",5526350,102,36,12,70,826.6976367,358300,0
"Hampton, NH",3332980,831,306,84,26,1219.026542,358300,26
"Atlantis, FL",1202500,176,186,24,0,1824.189981,358200,12
"Bailey's Crossroads, VA",5104088,5618,415,242,92,1666.911483,357900,107
"Atlantic Beach, NC",3702500,324,82,0,0,973.5385987,357800,0
"Dixon, CA",619402,1678,306,172,149,1352.578422,357800,138
"St. Lucie Village, FL",1262800,75,0,0,0,851.6,357700,39
"West Belmar, NJ",3478350,11,71,42,0,1411.2,357600,0
"Denver, CO",820000,153117,17950,22480,8423,1233.267488,357300,7218
"Burkittsville, MD",2411400,15,0,0,0,937,357100,2
"Jupiter Farms, FL",1235890,1,293,221,142,1944.2,357100,0
"Orangevale, CA",654092,3668,989,301,115,1400.564354,357100,193
"Williston, MD",2485175,0,,,,,357100,0
"Groton, MA",2527445,192,171,0,0,760.7226705,357000,0
"Stevensville, MD",2475025,534,179,258,14,1719.227506,357000,0
"June Lake, CA",637624,0,,,,895.9597034,356900,127
"Ogden Dunes, IN",1856088,29,32,0,0,1592.298019,356900,0
"Pewee Valley, KY",2160492,11,6,29,36,1203.2,356800,0
"Wallington, NJ",3476490,2551,149,464,29,1235.873243,356800,234
"Cedar Hills, UT",4911440,258,383,94,39,1835.949803,356700,0
"Minkler, CA",647822,36,,,,2144.859182,356700,0
"Moonachie, NJ",3447700,191,49,0,27,1367.198127,356700,0
"Peoria, CO",858510,0,,,,,356700,0
"Terryville, NY",3673352,768,195,46,96,2312.311401,356700,13
"Interlaken, UT",4937924,0,,,,,356600,0
"Kendall, FL",1236100,9659,2188,379,181,1464.303359,356500,1449
"Leland, MI",2646800,59,,,,912.9315582,356500,0
"Salisbury, MA",2559210,611,188,0,13,1327.707659,356500,153
"Bryn Mawr-Skyway, WA",5308552,2963,263,54,47,1395.538418,356300,115
"Cavalero, WA",5310645,243,318,230,0,2006.328295,356300,22
"Kicking Horse, MT",3040580,6,,,,,356300,0
"Pittsburg, CA",657456,9757,2363,541,276,1646.490082,356300,290
"Bensville, MD",2406662,338,297,23,84,2523.912896,356200,30
"Lake Lotawana, MO",2939980,86,185,0,0,1246.730127,356200,22
"Weymouth Town, MA",2578972,8023,748,1317,319,1440.654456,356200,283
"Chester Center, CT",914370,93,0,0,0,1329.331273,356100,23
"Roswell, GA",1367284,11475,2519,1599,954,1224.55445,355900,659
"Holtsville, NY",3635254,1301,263,59,195,1642.124326,355800,111
"Lake Nacimiento, CA",639670,181,66,0,174,1705.591008,355800,0
"Shark River Hills, NJ",3466840,87,28,0,0,1410.127276,355800,0
"Saddlebrooke, AZ",461940,219,230,84,90,1442.865164,355700,10
"Wahpeton, IA",1981615,23,48,0,4,1407.794873,355700,0
"Four Corners, MT",3028862,276,152,28,43,958.4987773,355600,13
"Innsbrook, VA",5139920,1465,291,231,16,1170.055303,355600,82
"Mead, CO",849600,55,0,271,138,1590.4,355600,57
"Charleston, UT",4912420,12,0,0,0,1542.898584,355400,0
"Colonia, NJ",3414380,758,147,198,42,1469.613099,355400,32
"Hawi, HI",1513600,93,22,0,0,1081.175889,355400,10
"Keller, TX",4838632,2772,1532,169,730,1340.771777,355300,33
"Point of Rocks, MD",2462575,46,24,16,66,1274.007091,355300,0
"North Great River, NY",3652078,397,108,28,65,1893.492017,355200,23
"Lindenhurst, NY",3642554,1822,620,61,165,1562.895884,355100,88
"Newtown Grant, PA",4254268,252,125,19,123,1677.596274,355000,0
"New River, AZ",449360,599,446,241,76,1739.284482,354800,288
"Revere, MA",2556585,10515,685,873,308,1358.235903,354700,376
"Crozet, VA",5120560,905,153,303,159,1397.798735,354600,69
"Millstone, NJ",3446590,10,158,0,0,1210.290654,354500,1
"North Druid Hills, GA",1356168,5254,984,458,456,1376.042946,354500,350
"Great Neck Plaza, NY",3630213,1561,232,109,149,1860.880074,354400,0
"Melbourne Beach, FL",1244000,152,204,72,16,1775.872187,354400,8
"Monument, CO",851800,638,392,71,214,1695.018316,354400,4
"Port Ludlow, WA",5355645,167,0,65,58,1376.925117,354400,0
"Fairview, Bergen County, NJ",3422560,3902,62,0,18,1373.664782,354300,150
"Montgomery, OH",3951716,426,355,53,314,986.9614877,354100,0
"Cumming, IA",1917850,17,8,0,0,1194.802096,354000,0
"East Grand Rapids, MI",2623980,170,525,103,0,1577.211871,353700,0
"Mount Aetna, MD",2453750,51,0,35,0,1446.757207,353700,0
"Angel Fire, NM",3503400,81,0,26,139,654.8375041,353600,190
"Teaticket, MA",2569205,173,0,66,64,1734.866215,353600,0
"Atlantic Beach, FL",1202400,1672,633,115,125,1226.580182,353500,36
"Arden-Arcade, CA",602553,24917,2412,782,363,981.9261376,353400,756
"Lovettsville, VA",5147208,146,48,79,364,1939.916772,353400,0
"Long Branch, NJ",3441310,6511,612,178,72,1281.331486,353200,302
"Elmwood Park, NJ",3421300,2992,312,77,185,1618.613771,353100,120
"Indian Springs Village, AL",137465,26,0,67,27,,353100,17
"Kingston, RI",4438980,155,66,12,67,1375.000969,353000,0
"Mercersville, MD",2451945,13,,,,,352900,0
"Weldon Spring Heights, MO",2978334,0,8,0,0,,352900,0
"Manitou Springs, CO",848445,985,103,21,15,945.402328,352800,0
"Manteca, CA",645484,10406,2071,1026,507,1365.753042,352700,143
"Mountlake Terrace, WA",5347490,4004,507,708,183,1407.38958,352700,0
"Towson, MD",2478425,8836,2054,999,840,1412.978429,352700,928
"Freeland, WA",5325510,369,32,86,67,1160.113127,352600,16
"Sterling, VA",5175376,2602,1024,440,474,1734.773756,352600,142
"Lochsloy, WA",5339860,61,106,60,0,401.2965103,352400,0
"Rifton, NY",3661797,33,,,,1318.714286,352400,0
"Arvada, CO",803455,12744,4211,2070,1558,1293.476343,352300,88
"Bigfork, MT",3005875,458,120,23,292,1027.701317,352200,0
"Fairway, KS",2022700,100,208,0,120,1303.535483,352200,0
"Castroville, CA",611978,1104,152,0,70,1112.565562,352100,54
"Ouray, CO",856420,129,4,71,12,1027.950547,352100,19
"Talahi Island, GA",1375239,49,0,0,27,,352100,0
"Woodbridge, VA",5187312,488,740,335,412,2111.2815,352100,33
"Beaverton, OR",4105350,20690,3896,1508,1494,1268.725679,352000,136
"Lake Ronkonkoma, NY",3640838,1857,475,79,4,1480.2901,352000,21
"Montrose, NY",3648208,451,22,0,51,1190.122159,352000,41
"Black Hammock, FL",1206670,0,0,0,0,,351800,0
"Fontana, CA",624680,19962,4634,1771,431,1283.504904,351700,237
"Sun Valley Lake, IA",1976415,23,,,,,351500,0
"Boston Heights, OH",3907790,43,107,0,0,963.046259,351400,0
"Eden Prairie, MN",2718116,6911,2359,1564,764,1360.438166,351400,277
"Government Camp, OR",4130250,25,,,,,351400,0
"Highgrove, CA",633574,479,256,0,100,1108.376409,351400,24
"Brigantine, NJ",3407810,985,147,16,174,1266.678428,351300,63
"Herriman, UT",4934970,1545,982,429,380,1223.358193,351300,82
"Lutherville, MD",2448875,409,226,77,26,1213.650727,351200,25
"Burien, WA",5308850,8927,1565,377,223,1174.940829,351100,60
"Highland Village, TX",4833848,394,539,178,93,1967.267651,351000,0
"Carrboro, NC",3710620,5042,606,485,451,1043.041922,350800,210
"Skippack, PA",4271008,126,186,0,0,1608.193523,350800,34
"Indialantic, FL",1233375,122,181,46,15,1168.664216,350700,37
"Islip Terrace, NY",3638022,178,100,0,0,2077.25,350700,0
"Oceano, CA",653294,1157,598,28,62,1185.63231,350700,155
"North Arlington, NJ",3452320,2954,170,386,87,1339.994923,350600,78
"Plymouth Meeting, PA",4261688,1196,207,131,136,1502.768707,350600,93
"Warren, OR",4178800,37,47,19,17,1110.638492,350400,0
"Califon, NJ",3409280,85,3,9,0,1110.208396,350300,0
"Farragut, TN",4725760,949,641,112,363,1178.754039,350300,1
"Wheaton, IL",1781048,5024,2144,391,681,1360.164655,350300,203
"Summerfield, NC",3765580,435,254,40,15,805.9709321,350200,0
"Severn, MD",2471150,5375,1550,853,488,1669.894002,350100,262
"Arlington Heights, IL",1702154,8207,1947,391,484,1339.707081,350000,374
"Biddle, MT",3005650,16,,,,,350000,0
"Big Lagoon, CA",606567,4,,,,,350000,0
"Crowheart, WY",5618225,9,,,,,350000,0
"Glenville, NC",3726520,15,,,,,350000,0
"Jugtown, MD",2442950,0,,,,,350000,0
"Lake Panorama, IA",1942575,12,33,0,0,,350000,59
"Sutter Creek, CA",677392,592,112,85,0,979.0409054,349600,0
"Avondale Estates, GA",1304644,208,177,26,84,1182.6,349500,0
"Foresthill, CA",624834,258,128,43,0,829.9526766,349500,0
"Huntington Woods, MI",2640000,55,52,49,14,1635.028816,349500,36
"Placitas, Sandoval County, NM",3558070,322,139,34,108,897.1707889,349500,55
"West Conshohocken, PA",4282736,164,123,35,0,1422.147841,349500,0
"Bayside, WI",5505450,444,156,14,0,1356.5088,349400,0
"Calverton, MD",2412350,2611,374,327,43,2166.399289,349400,192
"Gleneagle, CO",830420,476,329,26,74,1438.131604,349400,0
"Sitka, AK",270540,1553,457,48,220,1117.2,349300,39
"Stockton, NJ",3470980,98,24,11,0,1572.6,349300,0
"White Meadow Lake, NJ",3480750,251,247,83,77,1722.456189,349300,0
"Wilton Center, CT",986380,181,75,9,0,2396.138643,349300,0
"Uniondale, NY",3676089,3109,431,85,166,1847.951683,349200,134
"Redway, CA",660088,163,,,,1146.2,348900,0
"Grosse Pointe, MI",2635480,439,270,113,28,1147.641793,348800,0
"Rochester, MI",2669020,1954,470,426,41,987.6058745,348800,100
"West Babylon, NY",3679246,3324,1198,216,249,1766.158004,348800,72
"Westphalia, MD",2483290,276,76,30,50,1742.515389,348600,0
"Whitefish, MT",3079825,1302,285,15,68,1012.377738,348600,123
"Bergenfield, NJ",3405170,2824,381,99,171,1366.492561,348400,0
"Middletown, CA",647332,125,,,,968.5606921,348400,76
"Brazos Country, TX",4810090,2,2,0,0,1167.643329,348300,0
"Woodmont, CT",988050,169,50,0,0,1340.6,348300,0
"Dakota Ridge, CO",819150,2004,1057,830,168,1547.545476,348200,74
"Hailey, ID",1634390,953,90,45,47,835.2436508,348200,262
"Ontario, CA",653896,24736,4113,1678,557,1425.506446,348200,711
"Butler, NJ",3409040,1038,202,34,143,1298.952898,348100,10
"Goshen, AR",527670,48,3,0,0,663.7218097,348100,0
"Jacksonville Beach, FL",1235050,3490,1001,226,189,1268.999283,348100,419
"Grosse Pointe Park, MI",2635540,953,329,222,63,1010.943497,347900,136
"Chagrin Falls, OH",3913358,386,170,185,0,1268,347700,69
"Jupiter, FL",1235875,6894,2326,762,406,1566.697699,347700,398
"Southwest Harbor, ME",2372830,143,38,14,0,477,347700,0
"Downers Grove, IL",1720591,5429,1456,651,562,1287.250581,347600,343
"Tinton Falls, NJ",3473020,3073,522,144,302,1994.8,347600,195
"Northampton, NY",3651418,16,,,,1335.808122,347500,0
"Grangeville, CA",630686,36,0,0,0,1137.896108,347300,0
"Signal Mountain, TN",4768540,550,162,42,37,1753.948808,347300,51
"Elkridge, MD",2425750,3136,587,251,412,1694.984401,347200,97
"Lauderdale Lakes, WI",5542805,24,12,17,0,869.9772628,347200,0
"Salem, MA",2559105,8953,1390,167,447,1221.73221,347200,102
"University of Virginia, VA",5180165,960,13,104,46,1104.528319,347200,84
"Bellingham, WA",5305280,20256,3707,1605,1063,997.2351324,347100,385
"Gypsum, CO",833695,573,170,57,84,1640.593416,347100,26
"Fairland, MD",2427250,4530,445,384,124,1663.559109,347000,366
"North Babylon, NY",3651440,866,231,60,108,1980.756243,347000,96
"Lacomb, OR",4140150,87,123,0,0,1077.371429,346800,0
"Peter, UT",4959555,0,,,,,346800,0
"Braddock Heights, MD",2409100,235,51,0,17,1009.372362,346700,0
"Fort Washington, MD",2429525,863,399,75,215,1564.6,346600,4
"Ringwood, NJ",3463150,216,206,158,92,1622.6,346600,91
"Fredericksburg, VA",5129744,7001,236,1164,559,1176.994018,346500,221
"Kingston, WA",5335870,527,41,91,0,1394.736365,346400,54
"Asbury Park, NJ",3401960,5300,603,125,74,1225.839713,346300,443
"Amherst Center, MA",2501360,2018,131,263,180,1332.048007,346000,62
"Kenilworth, NJ",3436690,665,40,97,84,1401.561014,346000,0
"Skaneateles, NY",3667510,281,8,49,0,946.1396274,346000,41
"Edgewater, MD",2425050,874,416,112,123,1839.6,345900,0
"Leeds, UT",4944100,26,35,0,0,656.9793557,345900,8
"Kingston, NJ",3436930,284,0,80,0,1656.078522,345800,0
"West Kennebunk, ME",2383330,41,6,0,0,1332.188921,345600,0
"Ponce Inlet, FL",1258200,127,170,0,69,1841.994377,345300,48
"Shelton, CT",968100,3104,782,882,233,1408.800753,345200,50
"Fremont Hills, MO",2925957,41,2,15,0,631.3658432,345100,0
"Aventura, FL",1202681,6903,1269,609,208,1821.708208,345000,534
"Oso, WA",5352110,11,,,,,345000,0
"Palm Beach Gardens, FL",1254075,7114,2094,704,347,1633.65324,345000,763
"Sedalia, CO",868875,26,,,,,345000,0
"Woodland, CA",686328,9574,1176,510,379,1143.472497,345000,141
"Doney Park, AZ",419740,171,254,190,46,1653.930723,344900,54
"Yachats, OR",4184200,189,25,59,0,1004.043489,344900,2
"Liberty, UT",4944870,0,42,0,2,,344800,51
"Maitland, FL",1242575,3777,309,385,192,1353.684222,344800,588
"Naples Park, FL",1247675,1099,145,0,81,1263.669018,344800,203
"Verdi, NV",3279400,67,76,0,98,1380.809981,344800,0
"Westchase, FL",1276062,4278,994,393,123,1459.99624,344800,66
"La Grange Park, IL",1740793,1353,290,161,0,1169.928022,344700,0
"Riverside, CA",662000,42782,8933,3037,1517,1306.024545,344700,2099
"Big Coppitt Key, FL",1206350,481,16,25,15,1770.638818,344600,95
"Konterra, MD",2444715,125,9,101,33,2238.714531,344500,101
"Bermuda Dunes, CA",606028,1441,227,180,16,1255.368797,344400,0
"Double Spring, NV",3219150,14,9,0,0,,344400,0
"The Plains, VA",5178192,46,0,0,0,1082.22412,344400,0
"Loma Linda, CA",642370,5518,992,470,594,1279.606043,344300,162
"Warrenton, VA",5183136,1428,248,203,32,1241.923636,344300,87
"Wilderness Rim, WA",5378780,26,0,0,0,1975.909647,344300,0
"East Pleasant View, CO",822575,0,,,,,344200,0
"Hillsboro Pines, FL",1230858,36,,,,,344200,0
"Hood River, OR",4134900,1736,248,45,244,1160.231006,344200,99
"Lake Lure, NC",3736500,127,20,24,12,927.0019878,344200,88
"Deale, MD",2422050,118,80,67,77,1699.964635,344100,0
"Elk Ridge, UT",4922370,46,130,0,113,1799.4,344100,0
"Mansfield Center, MA",2538230,1154,40,72,23,1221.44652,344100,0
"Rosemont, IL",1765819,1114,69,86,0,937.8338032,344100,88
"Brookhurst, WY",5610175,24,,,,,344000,0
"Juneau, AK",236400,4401,1329,196,334,1217.198641,344000,137
"Millcreek, UT",4950150,9599,2534,487,648,1049.143338,344000,594
"Erda, UT",4923640,0,82,0,0,508.1992822,343900,0
"Rincon Valley, AZ",460120,128,233,0,29,1800.695724,343900,0
"Gonzales, CA",630392,1067,226,38,24,1121.657426,343800,0
"North Lakeville, MA",2548220,417,74,107,0,1400.532962,343200,0
"Plymouth, MA",2554275,1557,174,104,43,1229.034471,343200,44
"Clear Lake Shores, TX",4815328,200,87,28,21,1386.025776,343100,26
"Bozeman, MT",3008950,11268,1823,553,805,1016.725034,343000,384
"Kittery Point, ME",2337375,10,0,0,7,,343000,0
"Litchfield, CT",943300,213,34,0,0,1098.973252,343000,0
"Durham, NH",3319620,1046,140,193,178,909.6246277,342900,172
"New California, OH",3954320,7,38,0,0,,342800,0
"Oak Ridge, NC",3748480,154,293,0,156,1090.671335,342700,0
"Suttons Bay, MI",2677600,9,0,20,0,722.6528322,342700,29
"Flourtown, PA",4226376,232,79,23,5,1595.948595,342600,0
"Snohomish, WA",5365170,1977,582,222,131,1038.632467,342600,0
"South San Jose Hills, CA",673290,1181,136,126,77,1490.870712,342600,32
"Unalaska, AK",280770,844,33,54,142,1403.428737,342600,8
"Grandview Heights, OH",3931304,1266,527,99,37,1299.165884,342500,149
"Shrub Oak, NY",3667279,360,0,21,0,1995.323052,342400,0
"Lake Telemark, NJ",3438430,111,23,0,16,1530.019943,342300,0
"Flower Mound, TX",4826232,3774,3294,715,819,1685.10476,342200,258
"Meggett, SC",4545790,54,3,0,0,576.7129221,342200,0
"Pecan Acres, TX",4856462,156,115,107,23,918.1924515,342200,5
"Plumas Eureka, CA",657828,32,0,0,0,1093.378127,342200,0
"Doctor Phillips, FL",1217725,1189,467,124,59,1763.6,342100,3
"Milltown, NJ",3446620,313,139,63,148,1554.770359,342100,94
"Waverly, PA",4281664,20,3,0,0,,342000,6
"Vernon Hills, IL",1777694,3588,1026,375,482,1531.760895,341900,479
"Rockaway, NJ",3464050,699,134,3,15,1331.69822,341800,63
"Shindler, SD",4658590,14,26,0,0,,341800,0
"Round Top, TX",4863524,0,,,,,341700,0
"Yardley, PA",4286920,296,120,100,36,1275,341700,20
"Centereach, NY",3613376,1730,990,0,245,1865.287714,341500,0
"Grosse Pointe Farms, MI",2635520,275,225,122,10,1475.6,341500,27
"Idledale, CO",838480,30,,,,1174.730385,341500,0
"Machias, WA",5341470,17,27,5,0,1400.929953,341500,0
"Newport East, RI",4450140,2842,223,13,88,1217.680921,341500,119
"Sonoita, AZ",468220,0,0,0,0,1001,341500,8
"White Salmon, WA",5378330,442,103,78,17,893.5951904,341400,51
"Annetta South, TX",4803342,3,0,0,0,,341300,0
"Avon, UT",4902960,0,,,,,341300,0
"Dripping Springs, TX",4821424,382,11,99,0,1259.559632,341100,37
"Fish Hawk, FL",1222387,1306,963,278,188,1813.8,341100,5
"Paoli, PA",4257816,756,117,63,121,1465.138177,340900,97
"Catheys Valley, CA",612062,88,19,84,0,1206.311461,340800,50
"Plymouth, MN",2751730,9101,3619,979,622,1298.44372,340700,214
"Ridgefield Park, NJ",3462940,2256,124,94,131,1332.008227,340700,38
"Sunny Isles Beach, FL",1269555,5166,842,148,76,1600.490498,340700,205
"Crystal Lake, CT",918220,0,11,17,14,945.3650851,340600,0
"Maynard, MA",2539660,840,346,0,132,1154.057228,340500,323
"Maywood Park, OR",4146730,44,2,14,29,1562.821992,340400,0
"Mechanicsville, MD",2451800,126,321,79,155,766.3216093,340400,0
"Shueyville, IA",1972840,13,22,15,26,881.1010631,340400,0
"Wheat Ridge, CO",884440,6873,1028,451,281,1043.670711,340400,118
"Ben Avon Heights, PA",4205520,0,0,0,18,,340300,0
"Oak Hills, CA",652760,651,244,23,62,1259.803919,340200,0
"Pocasset, MA",2554450,456,29,66,27,1322.657579,340200,0
"Chinese Camp, CA",613182,10,,,,,340000,0
"Gulf Breeze, FL",1228000,569,117,143,63,1391.042721,340000,0
"Sierra City, CA",671778,0,,,,,340000,0
"University Place, WA",5373465,5464,1158,461,288,1138.420331,339900,176
"Cape Charles, VA",5112808,310,0,5,63,762.9710815,339800,2
"North Auburn, CA",651637,1872,474,334,5,1072.066665,339800,178
"Ronkonkoma, NY",3663473,1175,343,67,101,1605.059568,339800,31
"Wesley Chapel, NC",3771940,303,302,49,41,1500.163123,339800,29
"Hawaiian Gardens, CA",632506,2223,115,78,39,1317.049828,339700,100
"Ramtown, NJ",3461725,68,61,40,8,1755.5,339700,0
"Dorrington, CA",619570,9,,,,,339600,0
"Grapeview, WA",5328135,5,217,0,0,879.4129961,339600,0
"Lake Mohawk, NJ",3438040,532,124,11,41,1256.686114,339600,0
"Aurora, OR",4103300,80,6,26,20,1381.813847,339500,0
"Jurupa Valley, CA",637692,8213,1708,845,154,1232.658059,339400,37
"Queen Creek, AZ",458150,1547,1469,647,481,1426.865849,339400,422
"Nanakuli, HI",1553900,862,347,1,43,1610.23309,339300,0
"Matawan, NJ",3444520,1194,236,204,38,1444.319166,339200,7
"Mitchellville, MD",2452975,290,263,153,5,2218.704089,339100,49
"Abington, MA",2500135,2103,398,106,56,1182.596187,339000,143
"Aquia Harbour, VA",5102112,182,100,85,74,1911.108478,339000,0
"Farmingville, NY",3625417,502,129,30,43,1496.422598,339000,0
"New Cassel, NY",3650067,1127,6,17,0,1516.937044,339000,38
"West Rancho Dominguez, CA",684780,2265,146,0,20,1257.122076,339000,15
"Flaming Gorge, UT",4925910,5,,,,,338900,0
"Oatfield, OR",4154325,711,537,60,20,1303.576745,338900,86
"Raynham Center, MA",2556095,457,58,61,0,1446.546306,338900,75
"Seven Corners, VA",5171216,1790,36,75,30,1399.749496,338900,121
"Manasota Key, FL",1242750,45,24,0,0,1218.454057,338800,555
"McMillin, WA",5341785,20,0,0,0,,338700,0
"Helena Valley Northeast, MT",3035628,200,22,28,19,892.043455,338600,0
"Alderpoint, CA",600786,10,,,,,338500,0
"Riverdale, NJ",3463300,627,38,194,77,2058.433208,338500,11
"Ghent, WV",5430724,9,,,,,338200,0
"Lake Shore, MN",2734928,46,4,34,0,914.6223879,338200,5
"Pike Creek, DE",1056490,452,99,79,233,1752.079576,338200,13
"Salisbury Mills, NY",3664859,11,,,,,338200,0
"Vallejo, CA",681666,19750,2427,1220,578,1391.359162,338200,446
"Fort Collins, CO",827425,30777,6923,3093,2393,1280.659815,338100,893
"Ken Caryl, CO",840377,2317,956,386,329,1453.000121,338100,9
"Steilacoom, WA",5367770,870,288,27,32,1111.850548,338100,0
"Norton Center, MA",2550005,75,34,0,0,1304.21191,338000,0
"Hybla Valley, VA",5139304,3137,262,99,207,1300.84496,337900,42
"Murphy, TX",4850100,1066,375,150,45,2224.704534,337900,0
"National Harbor, MD",2455018,790,254,13,0,1422.115379,337800,37
"Cary, NC",3710740,20397,7951,1964,1689,1204.752058,337700,958
"Audubon, PA",4203544,1420,146,87,58,1577.140167,337600,30
"Birchwood Village, MN",2706058,32,2,19,4,1242.419412,337600,0
"Dunes City, OR",4121150,91,157,22,0,964.9585712,337600,15
"Covington, WA",5315290,1561,500,117,55,1757.654717,337500,0
"Burnt Store Marina, FL",1209612,49,16,0,52,,337300,78
"Bradenton Beach, FL",1207975,81,68,0,15,1213.564769,337200,251
"Clifton, NJ",3413690,12496,950,543,343,1389.789056,337200,35
"Dahlonega, GA",1321240,1093,37,251,133,998.8503763,337200,143
"Lisle, IL",1743939,4227,676,242,397,1284.379012,337200,117
"Red Cliff, CO",863265,36,45,46,0,1793.418367,337200,4
"Upton, MA",2571445,338,27,22,25,775.8997315,337200,0
"Egg Harbor, WI",5522850,5,0,0,0,765.6116284,337000,81
"Thousand Island Park, NY",3673726,0,,,,,337000,0
"Coral Springs, FL",1214400,18000,4451,1234,660,1439.445014,336900,1108
